2015 Geography Name;tate;2010 Census Total Population;2010 Census Urban Population;2010 Census Rural Population
Wright County;Minnesota;124700;84163;40537
Yellow Medicine County;Minnesota;10438;2002;8436
Adams County;Mississippi;32297;20274;12023
Alcorn County;Mississippi;37057;12469;24588
Amite County;Mississippi;13131;0;13131
Attala County;Mississippi;19564;6983;12581
Benton County;Mississippi;8729;0;8729
Bolivar County;Mississippi;34145;15722;18423
Calhoun County;Mississippi;14962;0;14962
Carroll County;Mississippi;10597;0;10597
Chickasaw County;Mississippi;17392;2557;14835
Choctaw County;Mississippi;8547;0;8547
Claiborne County;Mississippi;9604;0;9604
Clarke County;Mississippi;16732;0;16732
Clay County;Mississippi;20634;9173;11461
Coahoma County;Mississippi;26151;17783;8368
Copiah County;Mississippi;29449;10137;19312
Covington County;Mississippi;19568;0;19568
DeSoto County;Mississippi;161252;128310;32942
Forrest County;Mississippi;74934;52727;22207
Franklin County;Mississippi;8118;0;8118
George County;Mississippi;22578;2636;19942
Greene County;Mississippi;14400;0;14400
Grenada County;Mississippi;21906;10481;11425
Hancock County;Mississippi;43929;25233;18696
Harrison County;Mississippi;187105;144361;42744
Hinds County;Mississippi;245285;207814;37471
Holmes County;Mississippi;19198;2525;16673
Humphreys County;Mississippi;9375;4702;4673
Issaquena County;Mississippi;1406;0;1406
Itawamba County;Mississippi;23401;3217;20184
Jackson County;Mississippi;139668;101594;38074
Jasper County;Mississippi;17062;0;17062
Jefferson County;Mississippi;7726;0;7726
Jefferson Davis County;Mississippi;12487;0;12487
Jones County;Mississippi;67761;26131;41630
Kemper County;Mississippi;10456;0;10456
Lafayette County;Mississippi;47351;25768;21583
Lamar County;Mississippi;55658;27631;28027
Lauderdale County;Mississippi;80261;41531;38730
Lawrence County;Mississippi;12929;0;12929
Leake County;Mississippi;23805;4478;19327
Lee County;Mississippi;82910;45298;37612
Leflore County;Mississippi;32317;26603;5714
Lincoln County;Mississippi;34869;10635;24234
Lowndes County;Mississippi;59779;34314;25465
Madison County;Mississippi;95203;68564;26639
Marion County;Mississippi;27088;7294;19794
Marshall County;Mississippi;37144;6160;30984
Monroe County;Mississippi;36989;11232;25757
Montgomery County;Mississippi;10925;4388;6537
Neshoba County;Mississippi;29676;7759;21917
Newton County;Mississippi;21720;2810;18910
Noxubee County;Mississippi;11545;2998;8547
Oktibbeha County;Mississippi;47671;30307;17364
Panola County;Mississippi;34707;7309;27398
Pearl River County;Mississippi;55834;16792;39042
Perry County;Mississippi;12250;0;12250
Pike County;Mississippi;40404;16388;24016
Pontotoc County;Mississippi;29957;4807;25150
Prentiss County;Mississippi;25276;6050;19226
Quitman County;Mississippi;8223;3536;4687
Rankin County;Mississippi;141617;93599;48018
Scott County;Mississippi;28264;7866;20398
Sharkey County;Mississippi;4916;0;4916
Simpson County;Mississippi;27503;4170;23333
Smith County;Mississippi;16491;0;16491
Stone County;Mississippi;17786;3768;14018
Sunflower County;Mississippi;29450;15973;13477
Tallahatchie County;Mississippi;15378;2930;12448
Tate County;Mississippi;28886;6531;22355
Tippah County;Mississippi;22232;3592;18640
Tishomingo County;Mississippi;19593;0;19593
Tunica County;Mississippi;10778;3662;7116
Union County;Mississippi;27134;6632;20502
Walthall County;Mississippi;15443;0;15443
Warren County;Mississippi;48773;28828;19945
Washington County;Mississippi;51137;42176;8961
Wayne County;Mississippi;20747;4224;16523
Webster County;Mississippi;10253;0;10253
Wilkinson County;Mississippi;9878;0;9878
Winston County;Mississippi;19198;4624;14574
Yalobusha County;Mississippi;12678;2622;10056
Yazoo County;Mississippi;28065;15546;12519
Adair County;Missouri;25607;15914;9693
Andrew County;Missouri;17291;6695;10596
Atchison County;Missouri;5685;0;5685
Audrain County;Missouri;25529;15012;10517
Barry County;Missouri;35597;9517;26080
Barton County;Missouri;12402;4470;7932
Bates County;Missouri;17049;3875;13174
Benton County;Missouri;19056;2565;16491
Bollinger County;Missouri;12363;0;12363
Boone County;Missouri;162642;132088;30554
Buchanan County;Missouri;89201;77273;11928
Butler County;Missouri;42794;20463;22331
Caldwell County;Missouri;9424;0;9424
Callaway County;Missouri;44332;16834;27498
Camden County;Missouri;44002;11340;32662
Cape Girardeau County;Missouri;75674;52591;23083
Carroll County;Missouri;9295;3296;5999
Carter County;Missouri;6265;0;6265
Cass County;Missouri;99478;67245;32233
Cedar County;Missouri;13982;3454;10528
Chariton County;Missouri;7831;0;7831
Christian County;Missouri;77422;42740;34682
Clark County;Missouri;7139;0;7139
Clay County;Missouri;221939;200154;21785
Clinton County;Missouri;20743;4935;15808
Cole County;Missouri;75990;53896;22094
Cooper County;Missouri;17601;8237;9364
Crawford County;Missouri;24696;6592;18104
Dade County;Missouri;7883;0;7883
Dallas County;Missouri;16777;3031;13746
Daviess County;Missouri;8433;0;8433
DeKalb County;Missouri;12892;4847;8045
Dent County;Missouri;15657;4921;10736
Douglas County;Missouri;13684;2857;10827
Dunklin County;Missouri;31953;15831;16122
Franklin County;Missouri;101492;45064;56428
Gasconade County;Missouri;15222;2912;12310
Gentry County;Missouri;6738;0;6738
Greene County;Missouri;275174;236656;38518
Grundy County;Missouri;10261;5596;4665
Harrison County;Missouri;8957;2652;6305
Henry County;Missouri;22272;11237;11035
Hickory County;Missouri;9627;0;9627
Holt County;Missouri;4912;0;4912
Howard County;Missouri;10144;3646;6498
Howell County;Missouri;40400;11242;29158
Iron County;Missouri;10630;2673;7957
Jackson County;Missouri;674158;648291;25867
Jasper County;Missouri;117404;89589;27815
Jefferson County;Missouri;218733;152684;66049
Johnson County;Missouri;52595;26064;26531
Knox County;Missouri;4131;0;4131
Laclede County;Missouri;35571;14046;21525
Lafayette County;Missouri;33381;14371;19010
Lawrence County;Missouri;38634;15961;22673
Lewis County;Missouri;10211;0;10211
Lincoln County;Missouri;52566;13231;39335
Linn County;Missouri;12761;4281;8480
Livingston County;Missouri;15195;9633;5562
McDonald County;Missouri;23083;2;23081
Macon County;Missouri;15566;5014;10552
Madison County;Missouri;12226;4217;8009
Maries County;Missouri;9176;0;9176
Marion County;Missouri;28781;21653;7128
Mercer County;Missouri;3785;0;3785
Miller County;Missouri;24748;5004;19744
Mississippi County;Missouri;14358;9663;4695
Moniteau County;Missouri;15607;7382;8225
Monroe County;Missouri;8840;0;8840
Montgomery County;Missouri;12236;2629;9607
Morgan County;Missouri;20565;0;20565
New Madrid County;Missouri;18956;8177;10779
Newton County;Missouri;58114;20667;37447
Nodaway County;Missouri;23370;13220;10150
Oregon County;Missouri;10881;2118;8763
Osage County;Missouri;13878;0;13878
Ozark County;Missouri;9723;0;9723
Pemiscot County;Missouri;18296;9282;9014
Perry County;Missouri;18971;8419;10552
Pettis County;Missouri;42201;26258;15943
Phelps County;Missouri;45156;24283;20873
Pike County;Missouri;18516;8447;10069
Platte County;Missouri;89322;75202;14120
Polk County;Missouri;31137;9693;21444
Pulaski County;Missouri;52274;29257;23017
Putnam County;Missouri;4979;0;4979
Ralls County;Missouri;10167;396;9771
Randolph County;Missouri;25414;13933;11481
Ray County;Missouri;23494;5822;17672
Reynolds County;Missouri;6696;0;6696
Ripley County;Missouri;14100;0;14100
Saint Charles County;Missouri;360485;339467;21018
Saint Clair County;Missouri;9805;0;9805
Ste. Genevieve County;Missouri;18145;4329;13816
Saint Francois County;Missouri;65359;39370;25989
Saint Louis County;Missouri;998954;987586;11368
Saline County;Missouri;23370;12665;10705
Schuyler County;Missouri;4431;0;4431
Scotland County;Missouri;4843;0;4843
Scott County;Missouri;39191;22906;16285
Shannon County;Missouri;8441;0;8441
Shelby County;Missouri;6373;0;6373
Stoddard County;Missouri;29968;9053;20915
Stone County;Missouri;32202;3643;28559
Sullivan County;Missouri;6714;0;6714
Taney County;Missouri;51675;29010;22665
Texas County;Missouri;26008;205;25803
Vernon County;Missouri;21159;8832;12327
Warren County;Missouri;32513;12017;20496
Washington County;Missouri;25195;4919;20276
Wayne County;Missouri;13521;0;13521
Webster County;Missouri;36202;9438;26764
Worth County;Missouri;2171;0;2171
Wright County;Missouri;18815;4398;14417
Saint Louis City;Missouri;319294;319293;1
Beaverhead County;Montana;9246;4609;4637
Big Horn County;Montana;12865;3614;9251
Blaine County;Montana;6491;0;6491
Broadwater County;Montana;5612;0;5612
Carbon County;Montana;10078;0;10078
Carter County;Montana;1160;0;1160
Cascade County;Montana;81327;65207;16120
Chouteau County;Montana;5813;0;5813
Custer County;Montana;11699;9604;2095
Daniels County;Montana;1751;0;1751
Dawson County;Montana;8966;6494;2472
Deer Lodge County;Montana;9298;6170;3128
Fallon County;Montana;2890;0;2890
Fergus County;Montana;11586;6090;5496
Flathead County;Montana;90928;44114;46814
Gallatin County;Montana;89513;59488;30025
Garfield County;Montana;1206;0;1206
Glacier County;Montana;13399;7502;5897
Golden Valley County;Montana;884;0;884
Granite County;Montana;3079;0;3079
Hill County;Montana;16096;9657;6439
Jefferson County;Montana;11406;0;11406
Judith Basin County;Montana;2072;0;2072
Lake County;Montana;28746;4763;23983
Lewis and Clark County;Montana;63395;45055;18340
Liberty County;Montana;2339;0;2339
Lincoln County;Montana;19687;3978;15709
McCone County;Montana;1734;0;1734
Madison County;Montana;7691;0;7691
Meagher County;Montana;1891;0;1891
Mineral County;Montana;4223;0;4223
Missoula County;Montana;109299;84896;24403
Musselshell County;Montana;4538;0;4538
Park County;Montana;15636;8172;7464
Petroleum County;Montana;494;0;494
Phillips County;Montana;4253;0;4253
Pondera County;Montana;6153;2578;3575
Powder River County;Montana;1743;0;1743
Powell County;Montana;7027;3217;3810
Prairie County;Montana;1179;0;1179
Ravalli County;Montana;40212;6182;34030
Richland County;Montana;9746;5438;4308
Roosevelt County;Montana;10425;6283;4142
Rosebud County;Montana;9233;0;9233
Sanders County;Montana;11413;0;11413
Sheridan County;Montana;3384;0;3384
Silver Bow County;Montana;34200;30287;3913
Stillwater County;Montana;9117;0;9117
Sweet Grass County;Montana;3651;0;3651
Teton County;Montana;6073;0;6073
Toole County;Montana;5324;3037;2287
Treasure County;Montana;718;0;718
Valley County;Montana;7369;3301;4068
Wheatland County;Montana;2168;0;2168
Wibaux County;Montana;1017;0;1017
Yellowstone County;Montana;147972;123278;24694
Adams County;Nebraska;31364;24312;7052
Antelope County;Nebraska;6685;0;6685
Arthur County;Nebraska;460;0;460
Banner County;Nebraska;690;0;690
Blaine County;Nebraska;478;0;478
Boone County;Nebraska;5505;0;5505
Box Butte County;Nebraska;11308;8486;2822
Boyd County;Nebraska;2099;0;2099
Brown County;Nebraska;3145;0;3145
Buffalo County;Nebraska;46102;31229;14873
Burt County;Nebraska;6858;0;6858
Butler County;Nebraska;8395;2879;5516
Cass County;Nebraska;25241;6826;18415
Cedar County;Nebraska;8852;0;8852
Chase County;Nebraska;3966;0;3966
Cherry County;Nebraska;5713;2713;3000
Cheyenne County;Nebraska;9998;6373;3625
Clay County;Nebraska;6542;0;6542
Colfax County;Nebraska;10515;6255;4260
Cuming County;Nebraska;9139;3180;5959
Custer County;Nebraska;10939;3537;7402
Dakota County;Nebraska;21006;16576;4430
Dawes County;Nebraska;9182;5515;3667
Dawson County;Nebraska;24326;17842;6484
Deuel County;Nebraska;1941;0;1941
Dixon County;Nebraska;6000;0;6000
Dodge County;Nebraska;36691;27471;9220
Douglas County;Nebraska;517110;505886;11224
Dundy County;Nebraska;2008;0;2008
Fillmore County;Nebraska;5890;0;5890
Franklin County;Nebraska;3225;0;3225
Frontier County;Nebraska;2756;0;2756
Furnas County;Nebraska;4959;0;4959
Gage County;Nebraska;22311;12405;9906
Garden County;Nebraska;2057;0;2057
Garfield County;Nebraska;2049;0;2049
Gosper County;Nebraska;2044;0;2044
Grant County;Nebraska;614;0;614
Greeley County;Nebraska;2538;0;2538
Hall County;Nebraska;58607;50036;8571
Hamilton County;Nebraska;9124;4466;4658
Harlan County;Nebraska;3423;0;3423
Hayes County;Nebraska;967;0;967
Hitchcock County;Nebraska;2908;0;2908
Holt County;Nebraska;10435;3682;6753
Hooker County;Nebraska;736;0;736
Howard County;Nebraska;6274;0;6274
Jefferson County;Nebraska;7547;3912;3635
Johnson County;Nebraska;5217;0;5217
Kearney County;Nebraska;6489;2949;3540
Keith County;Nebraska;8368;4424;3944
Keya Paha County;Nebraska;824;0;824
Kimball County;Nebraska;3821;0;3821
Knox County;Nebraska;8701;0;8701
Lancaster County;Nebraska;285407;261852;23555
Lincoln County;Nebraska;36288;25213;11075
Logan County;Nebraska;763;0;763
Loup County;Nebraska;632;0;632
McPherson County;Nebraska;539;0;539
Madison County;Nebraska;34876;25144;9732
Merrick County;Nebraska;7845;3225;4620
Morrill County;Nebraska;5042;0;5042
Nance County;Nebraska;3735;0;3735
Nemaha County;Nebraska;7248;3474;3774
Nuckolls County;Nebraska;4500;0;4500
Otoe County;Nebraska;15740;7066;8674
Pawnee County;Nebraska;2773;0;2773
Perkins County;Nebraska;2970;0;2970
Phelps County;Nebraska;9188;5340;3848
Pierce County;Nebraska;7266;0;7266
Platte County;Nebraska;32237;22106;10131
Polk County;Nebraska;5406;0;5406
Red Willow County;Nebraska;11055;7563;3492
Richardson County;Nebraska;8363;4133;4230
Rock County;Nebraska;1526;0;1526
Saline County;Nebraska;14200;6948;7252
Sarpy County;Nebraska;158840;150463;8377
Saunders County;Nebraska;20780;6964;13816
Scotts Bluff County;Nebraska;36970;25946;11024
Seward County;Nebraska;16750;6636;10114
Sheridan County;Nebraska;5469;0;5469
Sherman County;Nebraska;3152;0;3152
Sioux County;Nebraska;1311;0;1311
Stanton County;Nebraska;6129;1625;4504
Thayer County;Nebraska;5228;0;5228
Thomas County;Nebraska;647;0;647
Thurston County;Nebraska;6940;0;6940
Valley County;Nebraska;4260;0;4260
Washington County;Nebraska;20234;7844;12390
Wayne County;Nebraska;9595;5557;4038
Webster County;Nebraska;3812;0;3812
Wheeler County;Nebraska;818;0;818
York County;Nebraska;13665;7633;6032
Churchill County;Nevada;24877;16241;8636
Clark County;Nevada;1951269;1925784;25485
Douglas County;Nevada;46997;32168;14829
Elko County;Nevada;48818;30340;18478
Esmeralda County;Nevada;783;0;783
Eureka County;Nevada;1987;0;1987
Humboldt County;Nevada;16528;10268;6260
Lander County;Nevada;5775;3520;2255
Lincoln County;Nevada;5345;0;5345
Lyon County;Nevada;51980;32780;19200
Mineral County;Nevada;4772;3249;1523
Nye County;Nevada;43946;28446;15500
Pershing County;Nevada;6753;0;6753
Storey County;Nevada;4010;295;3715
Washoe County;Nevada;421407;403426;17981
White Pine County;Nevada;10030;4681;5349
Carson City;Nevada;55274;52599;2675
Belknap County;New Hampshire;60088;20262;39826
Carroll County;New Hampshire;47818;4685;43133
Cheshire County;New Hampshire;77117;26979;50138
Coos County;New Hampshire;33055;11159;21896
Grafton County;New Hampshire;89118;27880;61238
Hills County;New Hampshire;400721;315803;84918
Merrimack County;New Hampshire;146445;66467;79978
Rockingham County;New Hampshire;295223;221718;73505
Strafford County;New Hampshire;123143;83243;39900
Sullivan County;New Hampshire;43742;15676;28066
Atlantic County;New Jersey;274549;239644;34905
Bergen County;New Jersey;905116;904197;919
Burlington County;New Jersey;448729;418834;29900
Camden County;New Jersey;513666;505349;8308
Cape May County;New Jersey;97265;80288;16977
Cumberland County;New Jersey;156898;120769;36129
Essex County;New Jersey;783969;783855;114
Gloucester County;New Jersey;288288;264228;24060
Hudson County;New Jersey;634277;634266;0
Hunterdon County;New Jersey;127351;64727;63622
Mercer County;New Jersey;367511;353749;12764
Middlesex County;New Jersey;809858;804397;5461
Monmouth County;New Jersey;630380;606870;23510
Morris County;New Jersey;492276;458952;33324
Ocean County;New Jersey;576567;559856;16711
Passaic County;New Jersey;501226;489146;12080
Salem County;New Jersey;66083;36147;29936
Somerset County;New Jersey;323444;304708;18736
Sussex County;New Jersey;149265;89783;59482
Union County;New Jersey;536499;536499;0
Warren County;New Jersey;108692;67862;40830
Bernalillo County;New Mexico;662564;634766;27798
Catron County;New Mexico;3725;0;3725
Chaves County;New Mexico;65645;49727;15918
Cibola County;New Mexico;27213;12152;15061
Colfax County;New Mexico;13750;6551;7199
Curry County;New Mexico;48376;41570;6806
De Baca County;New Mexico;2022;0;2022
Dona Ana County;New Mexico;209233;168871;40362
Eddy County;New Mexico;53829;42603;11226
Grant County;New Mexico;29514;17014;12500
Guadalupe County;New Mexico;4687;2621;2066
Harding County;New Mexico;695;0;695
Hidalgo County;New Mexico;4894;0;4894
Lea County;New Mexico;64727;51114;13613
Lincoln County;New Mexico;20497;9596;10901
Los Alamos County;New Mexico;17950;15932;2018
Luna County;New Mexico;25095;14903;10192
McKinley County;New Mexico;71492;30471;41021
Mora County;New Mexico;4881;0;4881
Otero County;New Mexico;63799;44917;18880
Quay County;New Mexico;9041;5283;3758
Rio Arriba County;New Mexico;40246;20218;20028
Roosevelt County;New Mexico;19846;12610;7236
Sandoval County;New Mexico;131561;109119;22442
San Juan County;New Mexico;130044;86266;43778
San Miguel County;New Mexico;29393;15609;13784
Santa Fe County;New Mexico;144170;107896;36274
Sierra County;New Mexico;11988;7918;4070
Socorro County;New Mexico;17866;8991;8875
Taos County;New Mexico;32937;13686;19251
Torrance County;New Mexico;16383;199;16184
Union County;New Mexico;4549;0;4549
Valencia County;New Mexico;76569;63758;12811
Albany County;New York;304204;274708;29496
Allegany County;New York;48946;10406;38540
Bronx County;New York;1385108;1385069;39
Broome County;New York;200600;148330;52270
Cattaraugus County;New York;80317;30719;49598
Cayuga County;New York;80026;35386;44640
Chautauqua County;New York;134905;75732;59173
Chemung County;New York;88830;67352;21478
Chenango County;New York;50477;8373;42104
Clinton County;New York;82128;29438;52690
Columbia County;New York;63096;16848;46248
Cortland County;New York;49336;27493;21843
Delaware County;New York;47980;10381;37599
Dutchess County;New York;297488;221928;75560
Erie County;New York;919040;832615;86425
Essex County;New York;39370;9899;29471
Franklin County;New York;51599;19259;32340
Fulton County;New York;55531;27558;27973
Genesee County;New York;60079;24100;35979
Greene County;New York;49221;13220;36001
Hamilton County;New York;4836;0;4836
Herkimer County;New York;64519;31092;33427
Jefferson County;New York;116229;60382;55847
Kings County;New York;2504700;2504663;37
Lewis County;New York;27087;3562;23525
Livingston County;New York;65393;29654;35739
Madison County;New York;73442;30151;43291
Monroe County;New York;744344;696334;48010
Montgomery County;New York;50219;29660;20559
Nassau County;New York;1339532;1336957;2575
New York County;New York;1585873;1585873;0
Niagara County;New York;216469;167892;48577
Oneida County;New York;234878;157406;77472
Onondaga County;New York;467026;408239;58787
Ontario County;New York;107931;56698;51233
Orange County;New York;372813;289524;83289
Orleans County;New York;42883;16776;26107
Oswego County;New York;122109;46701;75408
Otsego County;New York;62259;18325;43934
Putnam County;New York;99710;79220;20490
Queens County;New York;2230722;2230722;0
Rensselaer County;New York;159429;110784;48645
Richmond County;New York;468730;468730;0
Rockland County;New York;311687;309451;2236
Saint Lawrence County;New York;111944;42548;69396
Saratoga County;New York;219607;153809;65798
Schenectady County;New York;154727;142107;12620
Schoharie County;New York;32749;5618;27131
Schuyler County;New York;18343;3457;14886
Seneca County;New York;35251;14574;20677
Steuben County;New York;98990;39229;59761
Suffolk County;New York;1493350;1454506;38844
Sullivan County;New York;77547;20034;57513
Tioga County;New York;51125;17557;33568
Tompkins County;New York;101564;57543;44021
Ulster County;New York;182493;98473;84020
Warren County;New York;65707;43413;22294
Washington County;New York;63216;20293;42923
Wayne County;New York;93772;36855;56917
Westchester County;New York;949113;918044;31069
Wyoming County;New York;42155;15141;27014
Yates County;New York;25348;7294;18054
Alamance County;North Carolina;151131;107971;43160
Alexander County;North Carolina;37198;10126;27072
Alleghany County;North Carolina;11155;0;11155
Anson County;North Carolina;26948;5791;21157
Ashe County;North Carolina;27281;4129;23152
Avery County;North Carolina;17797;1996;15801
Beaufort County;North Carolina;47759;16429;31330
Bertie County;North Carolina;21282;3566;17716
Bladen County;North Carolina;35190;3085;32105
Brunswick County;North Carolina;107431;61278;46153
Buncombe County;North Carolina;238318;180932;57386
Burke County;North Carolina;90912;52136;38776
Cabarrus County;North Carolina;178011;143738;34273
Caldwell County;North Carolina;83029;54444;28585
Camden County;North Carolina;9980;45;9935
Carteret County;North Carolina;66469;44798;21671
Caswell County;North Carolina;23719;191;23528
Catawba County;North Carolina;154358;107595;46763
Chatham County;North Carolina;63505;21641;41864
Cherokee County;North Carolina;27444;0;27444
Chowan County;North Carolina;14793;4790;10003
Clay County;North Carolina;10587;0;10587
Cleveland County;North Carolina;98078;43360;54718
Columbus County;North Carolina;58098;11274;46824
Craven County;North Carolina;103505;74825;28680
Cumberland County;North Carolina;319431;276729;42702
Currituck County;North Carolina;23547;397;23150
Dare County;North Carolina;33920;24097;9823
Davidson County;North Carolina;162878;85699;77179
Davie County;North Carolina;41240;12253;28987
Duplin County;North Carolina;58505;7919;50586
Durham County;North Carolina;269974;252528;15059
Edgecombe County;North Carolina;56552;30930;25622
Forsyth County;North Carolina;350670;324908;25762
Franklin County;North Carolina;60619;8900;51719
Gaston County;North Carolina;206086;165595;40491
Gates County;North Carolina;12197;0;12197
Graham County;North Carolina;8861;0;8861
Granville County;North Carolina;57529;27112;32804
Greene County;North Carolina;21362;0;21362
Guilford County;North Carolina;488406;426406;62000
Halifax County;North Carolina;54691;24772;29919
Harnett County;North Carolina;114678;50549;64129
Haywood County;North Carolina;59036;26306;32730
Henderson County;North Carolina;106740;71227;35513
Hertford County;North Carolina;24669;7737;16932
Hoke County;North Carolina;46952;26692;20260
Hyde County;North Carolina;5810;0;5810
Iredell County;North Carolina;159437;98991;60446
Jackson County;North Carolina;40271;10837;29434
Johnston County;North Carolina;168878;80999;87879
Jones County;North Carolina;10153;0;10153
Lee County;North Carolina;57866;33120;24746
Lenoir County;North Carolina;59495;32719;26776
Lincoln County;North Carolina;78265;35569;42696
McDowell County;North Carolina;44996;13363;31633
Macon County;North Carolina;33922;6781;27141
Madison County;North Carolina;20764;1948;18816
Martin County;North Carolina;24505;5361;19144
Mecklenburg County;North Carolina;919628;909830;9798
Mitchell County;North Carolina;15579;2704;12875
Montgomery County;North Carolina;27798;6439;21359
Moore County;North Carolina;88247;43543;44704
Nash County;North Carolina;95840;50256;45584
New Hanover County;North Carolina;202667;198178;4489
Northampton County;North Carolina;22099;2350;19749
Onslow County;North Carolina;177772;130931;46841
Orange County;North Carolina;133801;95625;38176
Pamlico County;North Carolina;13144;0;13144
Pasquotank County;North Carolina;40661;23860;16801
Pender County;North Carolina;52217;16315;35902
Perquimans County;North Carolina;13453;0;13453
Person County;North Carolina;39464;9660;29804
Pitt County;North Carolina;168148;125378;42770
Polk County;North Carolina;20510;1585;18925
Randolph County;North Carolina;141752;62027;79725
Richmond County;North Carolina;46639;25404;21235
Robeson County;North Carolina;134168;50161;84007
Rockingham County;North Carolina;93643;35636;58007
Rowan County;North Carolina;138428;84687;53741
Rutherford County;North Carolina;67810;26418;41392
Sampson County;North Carolina;63431;9538;53893
Scotland County;North Carolina;36157;18660;17497
Stanly County;North Carolina;60585;19561;41024
Stokes County;North Carolina;47401;11520;35881
Surry County;North Carolina;73673;22982;50691
Swain County;North Carolina;13981;0;13981
Transylvania County;North Carolina;33090;13356;19734
Tyrrell County;North Carolina;4407;0;4407
Union County;North Carolina;201292;146361;54931
Vance County;North Carolina;45422;20858;24564
Wake County;North Carolina;900993;846020;54973
Warren County;North Carolina;20972;0;20972
Washington County;North Carolina;13228;4265;8963
Watauga County;North Carolina;51079;22763;28316
Wayne County;North Carolina;122623;65721;56902
Wilkes County;North Carolina;69340;18867;50473
Wilson County;North Carolina;81234;49828;31406
Yadkin County;North Carolina;38406;5885;32521
Yancey County;North Carolina;17818;0;17818
Adams County;North Dakota;2343;0;2343
Barnes County;North Dakota;11066;6689;4377
Benson County;North Dakota;6660;0;6660
Billings County;North Dakota;783;0;783
Bottineau County;North Dakota;6429;0;6429
Bowman County;North Dakota;3151;0;3151
Burke County;North Dakota;1968;0;1968
Burleigh County;North Dakota;81308;66227;15081
Cass County;North Dakota;149778;134149;15629
Cavalier County;North Dakota;3993;0;3993
Dickey County;North Dakota;5289;0;5289
Divide County;North Dakota;2071;0;2071
Dunn County;North Dakota;3536;0;3536
Eddy County;North Dakota;2385;0;2385
Emmons County;North Dakota;3550;0;3550
Foster County;North Dakota;3343;0;3343
Golden Valley County;North Dakota;1680;0;1680
Grand Forks County;North Dakota;66861;55649;11212
Grant County;North Dakota;2394;0;2394
Griggs County;North Dakota;2420;0;2420
Hettinger County;North Dakota;2477;0;2477
Kidder County;North Dakota;2435;0;2435
LaMoure County;North Dakota;4139;0;4139
Logan County;North Dakota;1990;0;1990
McHenry County;North Dakota;5395;0;5395
McIntosh County;North Dakota;2809;0;2809
McKenzie County;North Dakota;6360;0;6360
McLean County;North Dakota;8962;0;8962
Mercer County;North Dakota;8424;2949;5475
Morton County;North Dakota;27471;18720;8751
Mountrail County;North Dakota;7673;0;7673
Nelson County;North Dakota;3126;0;3126
Oliver County;North Dakota;1846;0;1846
Pembina County;North Dakota;7413;0;7413
Pierce County;North Dakota;4357;2824;1533
Ramsey County;North Dakota;11451;7444;4007
Ransom County;North Dakota;5457;0;5457
Renville County;North Dakota;2470;0;2470
Richland County;North Dakota;16321;7834;8487
Rolette County;North Dakota;13937;0;13937
Sargent County;North Dakota;3829;0;3829
Sheridan County;North Dakota;1321;0;1321
Sioux County;North Dakota;4153;0;4153
Slope County;North Dakota;727;0;727
Stark County;North Dakota;24199;17586;6613
Steele County;North Dakota;1975;0;1975
Stutsman County;North Dakota;21100;15284;5816
Towner County;North Dakota;2246;0;2246
Traill County;North Dakota;8121;0;8121
Walsh County;North Dakota;11119;4219;6900
Ward County;North Dakota;61675;48171;13504
Wells County;North Dakota;4207;0;4207
Williams County;North Dakota;22398;15127;7271
Adams County;Ohio;28550;3133;25417
Allen County;Ohio;106331;78801;27530
Ashland County;Ohio;53139;20226;32913
Ashtabula County;Ohio;101497;54434;47063
Athens County;Ohio;64757;36801;27956
Auglaize County;Ohio;45949;27966;17983
Belmont County;Ohio;70400;31916;38484
Brown County;Ohio;44846;10512;34334
Butler County;Ohio;368130;333736;34394
Carroll County;Ohio;28836;8376;20460
Champaign County;Ohio;40097;11699;28398
Clark County;Ohio;138333;105679;32654
Clermont County;Ohio;197363;152529;44834
Clinton County;Ohio;42040;19070;22970
Columbiana County;Ohio;107841;60537;47304
Coshocton County;Ohio;36901;14218;22683
Crawford County;Ohio;43784;28344;15440
Cuyahoga County;Ohio;1280113;1272675;7447
Darke County;Ohio;52959;17846;35113
Defiance County;Ohio;39037;21919;17118
Delaware County;Ohio;174214;140573;33641
Erie County;Ohio;77079;56670;20409
Fairfield County;Ohio;146156;95422;50734
Fayette County;Ohio;29030;15168;13862
Franklin County;Ohio;1163414;1147661;15753
Fulton County;Ohio;42698;18719;23979
Gallia County;Ohio;30934;5769;25165
Geauga County;Ohio;93410;33649;59740
Greene County;Ohio;161573;137483;24090
Guernsey County;Ohio;40087;15466;24621
Hamilton County;Ohio;802374;784466;17908
Hancock County;Ohio;74782;51517;23265
Hardin County;Ohio;32058;14305;17753
Harrison County;Ohio;15864;2521;13343
Henry County;Ohio;28215;8724;19491
Highland County;Ohio;43589;11768;31821
Hocking County;Ohio;29380;8567;20813
Holmes County;Ohio;42366;2968;39398
Huron County;Ohio;59626;29632;29994
Jackson County;Ohio;33225;11768;21457
Jefferson County;Ohio;69709;42535;27174
Knox County;Ohio;60921;26988;33933
Lake County;Ohio;230034;215021;15020
Lawrence County;Ohio;62450;33775;28675
Licking County;Ohio;166492;107341;59151
Logan County;Ohio;45858;19758;26100
Lorain County;Ohio;301356;265983;35373
Lucas County;Ohio;441815;421226;20589
Madison County;Ohio;43435;22375;21060
Mahoning County;Ohio;238823;202621;36202
Marion County;Ohio;66501;46384;20117
Medina County;Ohio;172332;120987;51345
